specific_model,price,parent_model,reference_number,description,marketing_name,diameter,case_thickness,lug_to_lug,water_resistance,caseback,watch_URL,brand,currency,nickname,made_in
One Week First Edition,32000,System 78,ST23-OW.FE,"More than an evolution. The One Week completely reimagines Armin Strom’s very first in-house calibre from 2010. More architectural, more open and housed in a new streamlined steel case with an integrated bracelet, the One Week was conceived with balance and depth in mind. The One Week First Edition of 25 pieces stands out with its light blue PVD coloured mainplate and bridges.
 
Ask for more information","Limited Edition
25 pieces",41.00mm,10.60 mm,46.20mm,10 ATM / 100 m,Sapphire crystal and case back with anti-reflective coating,https://arminstrom.com/en/collection/system-78/one-week-first-edition,Armin Strom,CHF,One Week First Edition,Switzerland
Orbit Manufacture Edition,35000,System 78,ST22-OR.90,"Armin Strom has completely reinterpreted the ubiquitous date function in the Orbit, the world’s first watch with an on-demand date indicated on the bezel. Crafted in steel with a ceramic bezel and an integrated steel bracelet, the Orbit adds a sporty touch to the first-of-its-kind column-wheel retrograde date atop the micro-rotor automatic movement with a torque-limiting barrel for optimal chronometric performance throught the watch’s autonomy.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",,43.4 mm,"12,6 mm",48.96 mm,5 ATM / 50 m,Sapphire crystal and case back with anti-reflective coating,https://arminstrom.com/en/collection/system-78/orbit-manufacture-edition/,Armin Strom,CHF,Orbit Manufacture Edition,Switzerland
Orbit First Edition,35000,System 78,ST22-OR.75,"Armin Strom has completely reinterpreted the ubiquitous date function in the Orbit, the world’s first watch with an on-demand date indicated on the bezel. Crafted in steel with a ceramic bezel and an integrated steel bracelet, the Orbit adds a sporty touch to the first-of-its-kind column-wheel retrograde date atop the micro-rotor automatic movement with a torque-limiting barrel for optimal chronometric performance throught the watch’s autonomy.
Ask for more information","Limited Edition
25 pieces",43.4 mm,"12,6 mm",48.96 mm,5 ATM / 50 m,Sapphire crystal and case back with anti-reflective coating,https://arminstrom.com/en/collection/system-78/orbit-first-edition/,Armin Strom,CHF,Orbit First Edition,Switzerland
Gravity Equal Force Manufacture Edition Black,20000,System 78,ST19-GEF.90,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",,41.00 mm,12.65 mm,48.09 mm,30 m,Sapphire crystal and case back with anti-reflective treatment,https://arminstrom.com//en/collection/system-78/gravity-equal-force-manufacture-edition-black/,Armin Strom,CHF,Gravity Equal Force Manufacture Edition Black,Switzerland
Gravity Equal Force Manufacture Edition Blue,20000,System 78,ST19-GEF.05,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",,41.00 mm,12.65 mm,48.09 mm,30 m,Sapphire crystal and case back with anti-reflective treatment,https://arminstrom.com//en/collection/system-78/gravity-equal-force-manufacture-edition-blue/,Armin Strom,CHF,Gravity Equal Force Manufacture Edition Blue,Switzerland
Gravity Equal Force Manufacture Edition Rose Gold,31900,System 78,RG19-GEF.85,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",,41.00 mm,12.65 mm,48.09 mm,30 m,Sapphire crystal and case back with anti-reflective treatment,https://arminstrom.com//en/collection/system-78/gravity-equal-force-manufacture-edition-black-gold/,Armin Strom,CHF,Gravity Equal Force Manufacture Edition Rose Gold,Switzerland
Gravity Equal Force Ultimate Sapphire,27500,System 78,ST21-GEF.SA,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.
With its off-center grey-toned sapphire dial, the strikingly cool monochrome watch offers an extraordinary view of the exquisitely-finished manufacture movement.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",,41.00 mm,12.65 mm,48.09 mm,30 m,Sapphire crystal and case back with anti-reflective treatment,https://arminstrom.com/en/collection/system-78/gravity-equal-force-ultimate-sapphire/,Armin Strom,CHF,Gravity Equal Force Ultimate Sapphire,Switzerland
Gravity Equal Force Jungle Green,22900,System 78,ST22-GEF.JG.CR.M.N1,"An unprecedented feat of micromechanical ingenuity with a singular design made even more spectacular by an artisanally crafted dial, the Gravity Equal Force Jungle Green features a striking jungle-green guilloché dial by Kari Voutilainen, with a Grain d’orge horizontal pattern that follows the lines of the three bridges, paired with a matte black movement plate.
Entirely visible from the dial side, the Gravity Equal Force has a constant force transmission integrated directly in the mainspring barrel. The result is consistent power transmission to the regulating organ, ensuring unwavering precision throughout the watch’s autonomy.
Ask for more information",,41.00 mm,"12,65 mm",48.09 mm,30 m,Sapphire crystal and case back with anti-reflective treatment,https://arminstrom.com//en/collection/system-78/gravity-equal-force-jungle-green/,Armin Strom,CHF,Gravity Equal Force Jungle Green,Switzerland
Lady Beat Manufacture Edition Black,18000,System 78,ST20-LAB.90,"Finally, a no-compromise haute-horology watch designed for a feminine sensibility.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",,38.00 mm,11.65 mm,38.85 mm,30 m,Sapphire crystal and case back with anti-reflective treatment,https://arminstrom.com//en/collection/system-78/lady-beat-manufacture-edition-black/,Armin Strom,CHF,Lady Beat Manufacture Edition Black,Switzerland
Lady Beat Manufacture Edition White,18000,System 78,ST20-LAB.60,"Finally, a no-compromise haute-horology watch designed for a feminine sensibility.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",,38.00 mm,11.65 mm,38.85 mm,30 m,Sapphire crystal and case back with anti-reflective treatment,https://arminstrom.com//en/collection/system-78/lady-beat-manufacture-edition-white/,Armin Strom,CHF,Lady Beat Manufacture Edition White,Switzerland
